CVEGEO,p60,ab_sh,cplus_sh,c_sh,cminus_sh,dplus_sh,d_sh,e_sh,centroid_lat,centroid_lon,demanda,dem_ab,dem_cplus,dem_c,dem_cminus,dem_dplus,dem_d,dem_e,seg_premium,seg_financia,seg_contado,seg_publico,cap_credito,ing_prom,prioridad_A,pct_publico,pct_privado,dem_publico,dem_privado_directo,oferta_2km,desatencion
0200400010475,724.0,0.1232970027247956,0.1777929155313351,0.2118528610354223,0.1825613079019073,0.159400544959128,0.1307901907356948,0.0143051771117166,32.51415038490551,-116.97693486278216,43.44,5.356021798365123,7.723324250681198,9.202888283378746,7.930463215258856,6.924359673024523,5.681525885558583,0.62141689373297,5.356021798365123,16.926212534059943,12.605885558583106,8.551880108991826,20.268392370572208,29596.6757493188,3.430671169880242,75.0,25.0,33.0,11.0,8,4.826666666666666
0200400013770,695.0,0.0822909809084924,0.1790651744568795,0.2429229756418696,0.2021066491112574,0.1336405529953917,0.1441737985516787,0.0157998683344305,32.48384041430952,-117.02406830406228,41.7,3.431533903884134,7.467017774851876,10.129888084265964,8.427847267939434,5.572811059907834,6.012047399605002,0.6588545095457539,3.431533903884134,17.59690585911784,11.584858459512835,9.086701777485189,19.448321263989463,28710.443712969056,3.4223027840030227,75.0,25.0,31.0,10.0,2,13.9
0200400010456,504.0,0.1425020712510356,0.2924606462303231,0.1814415907207953,0.1466445733222866,0.0927920463960232,0.1267605633802817,0.0173985086992543,32.51393010766918,-116.99330547428494,30.24,4.309262634631317,8.844009942004972,5.4867937033968515,4.434531897265949,2.8060314830157416,3.833239436619718,0.5261309030654515,4.309262634631317,14.330803645401822,6.639270919635459,4.9606628003314,23.526926263463135,31996.93454846727,3.3715976066153734,77.0,23.0,23.0,7.0,12,2.3261538461538462
0200400011435,548.0,0.1268395234758234,0.240364400840925,0.2242466713384723,0.2144358794674141,0.0981079187105816,0.0770847932725998,0.0189208128941836,32.52880448772956,-117.07781840895396,32.879999999999995,4.170483531885074,7.903181499649615,7.37323055360897,7.050651716888577,3.2257883672039243,2.534548002803083,0.6221163279607568,4.170483531885074,15.276412053258586,5.760336370007007,7.672768044849334,22.06026629292222,30899.51086194815,3.3700171789529105,77.0,23.0,25.0,8.0,3,8.219999999999999
0200400016582,336.0,0.2490421455938697,0.3471264367816092,0.2444444444444444,0.118007662835249,0.0229885057471264,0.0183908045977011,0.0,32.49367515012711,-116.97986010292333,20.16,5.020689655172414,6.998068965517241,4.927999999999999,2.3790344827586205,0.4634482758620689,0.3707586206896551,0.0,5.020689655172414,11.92606896551724,0.8342068965517241,2.3790344827586205,28.211494252873564,36462.297318007666,3.364522260800634,82.0,18.0,17.0,4.0,10,1.8327272727272728
0200400010422,523.0,0.3487179487179487,0.243076923076923,0.1435897435897435,0.1138461538461538,0.0748717948717948,0.0656410256410256,0.0102564102564102,32.50786585709434,-117.0284467320018,31.38,10.94276923076923,7.627753846153846,4.505846153846153,3.5724923076923076,2.349476923076923,2.0598153846153844,0.3218461538461538,10.94276923076923,12.133599999999998,4.409292307692308,3.8943384615384615,27.36102564102564,36485.23076923077,3.3198774071794865,80.0,20.0,25.0,6.0,9,3.138
0200400013130,461.0,0.1692432872253864,0.2343368592351505,0.2652563059397884,0.1847030105777054,0.1057770545158665,0.0406834825061025,0.0,32.5163603087521,-117.0289686149986,27.66,4.681269324654189,6.481757526444263,7.336989422294548,5.108885272579332,2.9257933279088686,1.1253051261187956,0.0,4.681269324654189,13.818746948738813,4.051098454027664,5.108885272579332,23.34987794955248,32359.29536208299,3.22666054668802,79.0,21.0,22.0,6.0,45,0.601304347826087
0200400013840,854.0,0.0745420088439671,0.144030322173089,0.2002526847757422,0.2160454832596336,0.162349968414403,0.1819330385344283,0.0208464939987365,32.54592901945539,-116.93466066233717,51.239999999999995,3.819532533164877,7.380113708149083,10.260947567909032,11.070170562223623,8.318812381554011,9.322248894504106,1.0681743524952625,3.819532533164877,17.641061276058117,17.641061276058117,12.138344914718887,18.022109917877447,27522.17182564751,3.1792914538513077,73.0,27.0,37.0,14.0,5,8.54
0200400013605,608.0,0.1106941838649155,0.1938711694809256,0.2282676672920575,0.1838649155722326,0.1219512195121951,0.1519699812382739,0.0093808630393996,32.47830228703042,-116.9502343086532,36.48,4.03812382739212,7.072420262664165,8.327204502814258,6.707392120075046,4.448780487804878,5.543864915572233,0.3422138836772984,4.03812382739212,15.399624765478425,9.99264540337711,7.049606003752345,20.488430268918073,29698.20387742339,3.1551413817500857,76.0,24.0,28.0,9.0,3,9.12
0200400011327,762.0,0.1364705882352941,0.1747058823529411,0.1647058823529411,0.1770588235294117,0.1464705882352941,0.1717647058823529,0.0288235294117647,32.53360903702916,-117.0940543221968,45.72,6.239435294117647,7.98755294117647,7.53035294117647,8.095129411764706,6.696635294117647,7.853082352941176,1.3178117647058825,6.239435294117647,15.51790588235294,14.549717647058824,9.41294117647059,20.15705882352941,29469.231764705877,3.1279534168858127,75.0,25.0,34.0,11.0,1,22.86
